order_date,customer,region,product,units_sold,unit_price,revenue,cost,profit
2025-05-27,Sakshi Singh,South,Delta,1,393.62,393.62,288.45,105.17
2025-05-27,Rohan Iyer,North,Beta,4,914.4,3657.6,2785.86,871.74
2025-05-27,Sai Iyer,East,Beta,2,500.86,1001.72,652.15,349.57
2025-05-27,Pooja Sharma,North,Beta,3,1896.59,5689.77,3146.93,2542.84
2025-05-27,Siddharth Patel,Central,Alpha,5,1573.88,7869.4,5028.94,2840.46
2025-05-27,Karthik Reddy,South,Alpha,5,524.31,2621.55,1477.4,1144.15
2025-05-28,Vihaan Nair,West,Beta,3,1122.6,3367.8,2711.9,655.9
2025-05-28,Pooja Mehta,East,Epsilon,3,918.53,2755.59,2278.95,476.64
2025-05-28,Rohan Singh,North,Alpha,5,1178.69,5893.45,3059.68,2833.77
2025-05-28,Ananya Gupta,East,Delta,1,686.06,686.06,472.07,213.99
2025-05-28,Arjun Nair,West,Beta,3,865.29,2595.87,1458.19,1137.68
2025-05-28,Aishwarya Joshi,North,Alpha,3,466.14,1398.42,1176.69,221.73
2025-05-28,Vihaan Kumar,East,Gamma,3,640.94,1922.82,1248.63,674.19
2025-05-28,Vihaan Reddy,North,Beta,4,1450.39,5801.56,3986.02,1815.54
2025-05-28,Arjun Joshi,East,Beta,2,207.22,414.44,246.72,167.72
2025-05-28,Vihaan Sharma,North,Beta,1,369.81,369.81,270.19,99.62
2025-05-28,Pooja Patel,South,Beta,3,1250.34,3751.02,2606.41,1144.61
2025-05-28,Vihaan Nair,North,Alpha,5,670.91,3354.55,1692.54,1662.01
2025-05-28,Vihaan Sharma,South,Delta,3,1871.27,5613.81,3466.83,2146.98
2025-05-28,Rahul Iyer,West,Gamma,3,863.43,2590.29,2155.01,435.28
2025-05-28,Sakshi Kumar,South,Alpha,3,997.8,2993.4,2273.76,719.64
2025-05-28,Arjun Mehta,South,Beta,3,1875.19,5625.57,4157.94,1467.63
2025-05-28,Aditya Joshi,North,Alpha,4,408.26,1633.04,894.76,738.28
2025-05-28,Aditya Nair,South,Delta,3,1803.32,5409.96,3430.45,1979.51
2025-05-29,Aishwarya Gupta,East,Alpha,3,776.14,2328.42,1406.35,922.07
2025-05-29,Aishwarya Gupta,North,Beta,3,1028.15,3084.45,2450.7,633.75
2025-05-29,Aarav Nair,South,Delta,1,1468.64,1468.64,1088.18,380.46
2025-05-29,Siddharth Nair,South,Alpha,5,247.66,1238.3,678.45,559.85
2025-05-29,Siddharth Nair,North,Beta,5,1497.71,7488.55,4398.65,3089.9
2025-05-29,Pooja Iyer,Central,Alpha,2,1547.14,3094.28,1742.7,1351.58
2025-05-29,Neha Joshi,South,Epsilon,1,1352.82,1352.82,1114.1,238.72
2025-05-29,Aishwarya Gupta,East,Delta,1,941.74,941.74,683.32,258.42
2025-05-29,Vivaan Reddy,North,Alpha,2,1336.09,2672.18,1630.97,1041.21
2025-05-29,Rohan Joshi,Central,Delta,4,104.8,419.2,212.72,206.48
2025-05-29,Vihaan Sharma,West,Beta,2,140.16,280.32,143.85,136.47
2025-05-29,Neha Patel,North,Gamma,2,709.1,1418.2,1072.58,345.62
2025-05-29,Sakshi Patel,North,Beta,4,1659.11,6636.44,3572.49,3063.95
2025-05-29,Pooja Nair,Central,Epsilon,8,173.24,1385.92,1099.37,286.55
2025-05-29,Pooja Gupta,Central,Gamma,1,449.85,449.85,347.67,102.18
2025-05-29,Arjun Singh,North,Gamma,3,559.16,1677.48,1127.12,550.36
2025-05-29,Aditya Nair,East,Delta,3,1924.39,5773.17,3810.88,1962.29
2025-05-29,Sai Gupta,Central,Alpha,6,824.93,4949.58,2924.78,2024.8
2025-05-29,Arjun Kumar,Central,Beta,1,1265.17,1265.17,1009.51,255.66
2025-05-30,Aishwarya Kumar,Central,Gamma,6,332.58,1995.48,1231.02,764.46
2025-05-30,Sai Kumar,South,Gamma,5,1537.1,7685.5,4744.19,2941.31
2025-05-30,Aarav Patel,North,Delta,1,623.98,623.98,526.27,97.71
2025-05-30,Aarav Iyer,South,Beta,1,1524.08,1524.08,913.18,610.9
2025-05-30,Aishwarya Kumar,East,Epsilon,3,1948.15,5844.45,3060.99,2783.46
2025-05-30,Karthik Joshi,South,Delta,1,741.99,741.99,382.87,359.12
2025-05-30,Vivaan Sharma,East,Epsilon,4,89.86,359.44,241.19,118.25
2025-05-30,Priya Mehta,East,Alpha,3,1724.98,5174.94,4083.4,1091.54
2025-05-30,Rohan Singh,East,Alpha,4,972.29,3889.16,2515.92,1373.24
2025-05-30,Arjun Gupta,West,Beta,4,421.9,1687.6,1228.71,458.89
2025-05-30,Aarav Kumar,West,Delta,5,1785.94,8929.7,6422.04,2507.66
2025-05-30,Sai Kumar,North,Epsilon,3,1242.85,3728.55,2187.31,1541.24
2025-05-30,Rohan Kumar,North,Alpha,2,1184.98,2369.96,2001.49,368.47
2025-05-30,Aishwarya Joshi,West,Beta,9,307.97,2771.73,1939.7,832.03
2025-05-30,Vihaan Iyer,South,Beta,3,1623.07,4869.21,3839.76,1029.45
2025-05-30,Priya Mehta,North,Alpha,4,260.84,1043.36,779.67,263.69
2025-05-30,Vivaan Singh,South,Gamma,6,1026.57,6159.42,4271.87,1887.55
2025-05-30,Rohan Reddy,Central,Beta,3,159.21,477.63,265.49,212.14
2025-05-30,Pooja Gupta,South,Alpha,3,1334.0,4002.0,2778.9,1223.1
2025-05-30,Aarav Iyer,Central,Alpha,5,104.45,522.25,345.69,176.56
2025-05-31,Vihaan Joshi,Central,Beta,2,1768.1,3536.2,2310.96,1225.24
2025-05-31,Rohan Iyer,East,Delta,5,1298.06,6490.3,4910.49,1579.81
2025-05-31,Rohan Sharma,Central,Delta,2,1820.17,3640.34,2908.76,731.58
2025-05-31,Neha Mehta,South,Alpha,4,360.84,1443.36,1211.4,231.96
2025-05-31,Neha Patel,East,Gamma,2,1923.21,3846.42,2240.99,1605.43
2025-05-31,Ananya Iyer,West,Alpha,4,1305.27,5221.08,2915.79,2305.29
2025-05-31,Sakshi Joshi,Central,Alpha,7,255.89,1791.23,931.4,859.83
2025-05-31,Aditya Mehta,West,Alpha,2,205.02,410.04,288.93,121.11
2025-05-31,Priya Kumar,East,Epsilon,1,1959.07,1959.07,1574.64,384.43
2025-05-31,Pooja Sharma,South,Beta,2,358.93,717.86,543.07,174.79
2025-05-31,Aditya Kumar,South,Delta,1,1834.15,1834.15,1341.81,492.34
2025-05-31,Arjun Joshi,Central,Alpha,4,1878.47,7513.88,6231.31,1282.57
2025-05-31,Siddharth Mehta,Central,Gamma,2,719.44,1438.88,1219.69,219.19
2025-05-31,Siddharth Kumar,East,Alpha,1,1388.43,1388.43,1144.05,244.38
2025-05-31,Sai Reddy,South,Delta,3,1270.54,3811.62,2746.55,1065.07
2025-05-31,Vivaan Joshi,South,Gamma,4,79.97,319.88,178.8,141.08
2025-05-31,Siddharth Sharma,Central,Beta,3,698.29,2094.87,1339.85,755.02
2025-05-31,Rohan Patel,North,Beta,5,960.81,4804.05,2521.88,2282.17
2025-05-31,Arjun Nair,West,Epsilon,2,247.07,494.14,291.48,202.66
2025-05-31,Vivaan Singh,South,Epsilon,2,1420.37,2840.74,2391.49,449.25
2025-05-31,Aishwarya Joshi,West,Gamma,3,1099.96,3299.88,2762.08,537.8
2025-05-31,Aishwarya Joshi,West,Delta,2,56.56,113.12,76.96,36.16
2025-05-31,Siddharth Patel,West,Alpha,5,1501.22,7506.1,5914.17,1591.93
2025-06-01,Pooja Singh,Central,Alpha,2,1735.6,3471.2,2386.02,1085.18
2025-06-01,Pooja Patel,East,Alpha,2,1169.18,2338.36,1285.21,1053.15
2025-06-01,Aishwarya Joshi,Central,Gamma,5,264.37,1321.85,928.51,393.34
2025-06-01,Vihaan Gupta,South,Alpha,3,678.32,2034.96,1387.17,647.79
2025-06-01,Aditya Mehta,West,Alpha,4,882.6,3530.4,1829.87,1700.53
2025-06-01,Aarav Patel,South,Beta,4,1977.21,7908.84,6043.88,1864.96
2025-06-01,Pooja Reddy,West,Beta,5,771.06,3855.3,3266.86,588.44
2025-06-01,Rahul Patel,West,Gamma,1,1702.12,1702.12,1213.56,488.56
2025-06-01,Siddharth Reddy,South,Alpha,1,477.72,477.72,302.55,175.17
2025-06-01,Aditya Joshi,West,Gamma,3,1144.11,3432.33,2313.17,1119.16
2025-06-01,Aarav Sharma,West,Beta,4,1136.53,4546.12,2497.85,2048.27
2025-06-01,Sai Nair,North,Alpha,2,793.85,1587.7,1150.03,437.67
2025-06-01,Vivaan Kumar,East,Beta,2,1920.28,3840.56,2347.1,1493.46
2025-06-01,Siddharth Nair,West,Gamma,2,461.18,922.36,711.93,210.43
2025-06-01,Vihaan Sharma,East,Epsilon,3,86.22,258.66,162.36,96.3
2025-06-01,Aditya Mehta,North,Delta,1,1813.99,1813.99,1348.27,465.72
2025-06-01,Siddharth Nair,West,Alpha,2,411.85,823.7,590.03,233.67
2025-06-01,Priya Mehta,Central,Alpha,2,1421.14,2842.28,2141.69,700.59
2025-06-01,Pooja Mehta,East,Beta,4,879.46,3517.84,2064.98,1452.86
2025-06-01,Aarav Mehta,Central,Delta,3,726.35,2179.05,1569.47,609.58
2025-06-01,Ananya Reddy,South,Alpha,3,528.84,1586.52,863.89,722.63
2025-06-01,Rahul Kumar,South,Alpha,6,257.1,1542.6,1280.34,262.26
2025-06-02,Arjun Reddy,Central,Epsilon,4,877.08,3508.32,2846.25,662.07
2025-06-02,Siddharth Mehta,East,Delta,2,224.66,449.32,236.0,213.32
2025-06-02,Rahul Singh,South,Alpha,7,862.13,6034.91,4771.73,1263.18
2025-06-02,Siddharth Reddy,North,Alpha,6,521.83,3130.98,1641.38,1489.6
2025-06-02,Ananya Sharma,South,Alpha,7,1231.2,8618.4,5329.56,3288.84
2025-06-02,Arjun Iyer,East,Alpha,3,633.91,1901.73,1400.8,500.93
2025-06-02,Arjun Sharma,West,Alpha,4,1141.06,4564.24,2635.27,1928.97
2025-06-02,Arjun Patel,East,Alpha,3,344.03,1032.09,778.29,253.8
2025-06-02,Karthik Iyer,North,Alpha,6,1195.3,7171.8,5778.05,1393.75
2025-06-02,Aditya Joshi,South,Beta,4,555.68,2222.72,1795.81,426.91
2025-06-02,Arjun Reddy,North,Delta,5,1819.53,9097.65,7200.23,1897.42
2025-06-02,Aditya Mehta,Central,Beta,1,1934.13,1934.13,1216.39,717.74
2025-06-02,Aarav Iyer,West,Delta,5,1221.84,6109.2,4752.77,1356.43
2025-06-02,Aditya Sharma,South,Gamma,2,1195.49,2390.98,1664.67,726.31
2025-06-02,Pooja Reddy,Central,Delta,3,158.73,476.19,368.91,107.28
2025-06-02,Karthik Joshi,North,Gamma,1,1405.83,1405.83,885.67,520.16
2025-06-02,Arjun Gupta,West,Delta,3,1292.24,3876.72,2180.22,1696.5
2025-06-02,Aarav Singh,North,Delta,4,1439.78,5759.12,4061.72,1697.4
2025-06-02,Aarav Iyer,South,Epsilon,4,1601.65,6406.6,4286.27,2120.33
2025-06-03,Karthik Singh,West,Delta,2,1562.74,3125.48,2609.2,516.28
2025-06-03,Aarav Iyer,Central,Beta,3,610.41,1831.23,1203.87,627.36
2025-06-03,Aishwarya Mehta,West,Alpha,1,186.17,186.17,102.16,84.01
2025-06-03,Pooja Sharma,Central,Beta,2,1468.99,2937.98,2045.01,892.97
2025-06-03,Vihaan Kumar,East,Beta,3,1245.6,3736.8,2607.78,1129.02
2025-06-03,Vihaan Sharma,South,Alpha,2,1149.74,2299.48,1242.11,1057.37
2025-06-03,Priya Mehta,North,Delta,1,1017.05,1017.05,671.67,345.38
2025-06-03,Aditya Mehta,South,Epsilon,5,171.86,859.3,672.18,187.12
2025-06-03,Pooja Iyer,Central,Alpha,2,358.57,717.14,548.51,168.63
2025-06-03,Sakshi Singh,North,Delta,5,175.87,879.35,719.51,159.84
2025-06-03,Priya Nair,South,Beta,3,1707.59,5122.77,2926.73,2196.04
2025-06-03,Rahul Iyer,East,Beta,6,372.04,2232.24,1735.88,496.36
2025-06-03,Rohan Joshi,Central,Delta,3,794.53,2383.59,1876.2,507.39
2025-06-03,Siddharth Gupta,Central,Delta,4,1971.62,7886.48,4281.19,3605.29
2025-06-03,Vihaan Sharma,South,Alpha,3,1147.78,3443.34,2588.61,854.73
2025-06-03,Vihaan Kumar,West,Alpha,5,659.16,3295.8,2595.68,700.12
2025-06-03,Rohan Reddy,South,Beta,4,229.64,918.56,594.35,324.21
2025-06-03,Neha Mehta,East,Delta,3,1580.43,4741.29,3770.79,970.5
2025-06-03,Siddharth Patel,East,Alpha,3,418.84,1256.52,728.17,528.35
2025-06-03,Rohan Joshi,West,Delta,2,1509.95,3019.9,2312.45,707.45
2025-06-04,Vihaan Singh,West,Gamma,1,371.34,371.34,234.99,136.35
2025-06-04,Aarav Kumar,North,Beta,2,138.28,276.56,227.15,49.41
2025-06-04,Siddharth Nair,West,Epsilon,8,874.98,6999.84,3794.52,3205.32
2025-06-04,Neha Reddy,East,Alpha,3,514.01,1542.03,1094.2,447.83
2025-06-04,Aarav Patel,East,Delta,5,1612.07,8060.35,5240.95,2819.4
2025-06-04,Priya Iyer,North,Delta,3,1049.95,3149.85,2153.97,995.88
2025-06-04,Sai Joshi,South,Delta,4,946.62,3786.48,2690.95,1095.53
2025-06-04,Sai Iyer,West,Alpha,5,535.72,2678.6,2249.4,429.2
2025-06-04,Siddharth Kumar,East,Beta,4,50.57,202.28,143.91,58.37
2025-06-04,Karthik Reddy,Central,Alpha,4,917.82,3671.28,2594.87,1076.41
2025-06-04,Karthik Mehta,North,Alpha,1,252.25,252.25,196.98,55.27
2025-06-04,Karthik Joshi,North,Gamma,3,1156.49,3469.47,2153.94,1315.53
2025-06-04,Siddharth Singh,Central,Beta,3,806.61,2419.83,1558.03,861.8
2025-06-04,Priya Gupta,North,Gamma,4,1175.09,4700.36,2773.98,1926.38
2025-06-04,Priya Sharma,West,Delta,4,1224.85,4899.4,3993.56,905.84
2025-06-04,Pooja Gupta,West,Beta,5,1397.05,6985.25,4990.27,1994.98
2025-06-04,Rohan Joshi,West,Delta,2,1013.13,2026.26,1021.43,1004.83
2025-06-04,Rohan Joshi,North,Beta,1,293.26,293.26,181.85,111.41
2025-06-04,Arjun Nair,East,Delta,4,1571.5,6286.0,4899.52,1386.48
2025-06-04,Rahul Iyer,South,Delta,4,1272.34,5089.36,3770.92,1318.44
2025-06-04,Aditya Nair,West,Beta,2,317.86,635.72,461.56,174.16
2025-06-04,Pooja Kumar,West,Gamma,2,1718.5,3437.0,2391.78,1045.22
2025-06-04,Neha Reddy,East,Alpha,1,1131.75,1131.75,718.06,413.69
2025-06-04,Priya Joshi,Central,Beta,1,927.22,927.22,734.75,192.47
2025-06-05,Rohan Nair,West,Beta,2,1147.46,2294.92,1172.31,1122.61
2025-06-05,Siddharth Mehta,West,Alpha,5,521.76,2608.8,1357.04,1251.76
2025-06-05,Arjun Nair,East,Epsilon,3,939.01,2817.03,1890.55,926.48
2025-06-05,Aditya Sharma,Central,Delta,3,1371.24,4113.72,3284.37,829.35
2025-06-05,Pooja Singh,East,Epsilon,2,733.11,1466.22,752.6,713.62
2025-06-05,Aditya Mehta,South,Delta,3,1043.82,3131.46,2095.55,1035.91
2025-06-05,Rohan Iyer,East,Beta,3,1025.65,3076.95,2470.64,606.31
2025-06-05,Sai Reddy,East,Beta,5,57.75,288.75,174.54,114.21
2025-06-05,Arjun Kumar,South,Delta,4,1016.63,4066.52,3061.88,1004.64
2025-06-05,Vivaan Sharma,East,Gamma,7,1826.35,12784.45,6402.6,6381.85
2025-06-05,Sai Kumar,North,Beta,1,66.39,66.39,52.29,14.1
2025-06-05,Vihaan Singh,East,Delta,2,1395.99,2791.98,2067.72,724.26
2025-06-05,Aishwarya Joshi,South,Alpha,4,580.49,2321.96,1567.83,754.13
2025-06-05,Arjun Mehta,East,Beta,3,1699.41,5098.23,3071.07,2027.16
2025-06-05,Ananya Iyer,North,Beta,4,769.84,3079.36,1672.16,1407.2
2025-06-05,Arjun Iyer,West,Gamma,3,1309.82,3929.46,2946.64,982.82
2025-06-05,Aarav Iyer,South,Delta,2,1490.52,2981.04,2008.75,972.29
2025-06-05,Sai Mehta,South,Gamma,1,602.38,602.38,408.95,193.43
2025-06-05,Aarav Kumar,North,Beta,1,1519.33,1519.33,890.92,628.41
2025-06-05,Sakshi Reddy,West,Epsilon,4,1980.2,7920.8,5131.37,2789.43
2025-06-05,Pooja Sharma,North,Alpha,5,391.56,1957.8,1435.53,522.27
2025-06-05,Priya Reddy,Central,Delta,3,1619.95,4859.85,2511.89,2347.96
2025-06-05,Priya Mehta,Central,Delta,2,1398.61,2797.22,2239.55,557.67
2025-06-05,Vihaan Singh,North,Gamma,5,1684.09,8420.45,4316.14,4104.31
2025-06-05,Aditya Nair,Central,Epsilon,3,1371.49,4114.47,2891.28,1223.19
2025-06-05,Karthik Patel,South,Alpha,4,1319.84,5279.36,4323.13,956.23
2025-06-05,Aditya Mehta,North,Alpha,4,1599.95,6399.8,4090.6,2309.2
2025-06-05,Ananya Sharma,South,Delta,3,87.54,262.62,205.5,57.12
2025-06-05,Vivaan Iyer,Central,Beta,3,1320.02,3960.06,2767.42,1192.64
2025-06-05,Aarav Nair,Central,Delta,5,374.76,1873.8,1402.63,471.17
2025-06-05,Aishwarya Gupta,Central,Gamma,1,1382.06,1382.06,1170.01,212.05
2025-06-06,Pooja Patel,West,Gamma,6,645.37,3872.22,2650.7,1221.52
2025-06-06,Karthik Mehta,West,Epsilon,3,1448.56,4345.68,3588.28,757.4
2025-06-06,Sai Mehta,South,Alpha,4,189.71,758.84,593.75,165.09
2025-06-06,Rohan Mehta,East,Gamma,1,369.15,369.15,211.6,157.55
2025-06-06,Vivaan Reddy,South,Delta,5,2093.84,10469.2,7842.51,2626.69
2025-06-06,Priya Joshi,Central,Beta,2,68.08,136.16,107.61,28.55
2025-06-06,Karthik Iyer,West,Beta,7,498.28,3487.96,2697.84,790.12
2025-06-06,Rohan Sharma,East,Delta,7,1521.02,10647.14,7241.54,3405.6
2025-06-06,Rahul Joshi,North,Beta,1,1019.82,1019.82,552.21,467.61
2025-06-06,Sai Mehta,South,Epsilon,5,103.56,517.8,339.43,178.37
2025-06-06,Aditya Reddy,North,Gamma,8,1772.62,14180.96,8225.57,5955.39
2025-06-06,Rahul Joshi,West,Delta,4,1112.3,4449.2,2664.51,1784.69
2025-06-06,Vivaan Joshi,West,Delta,6,1127.21,6763.26,4166.49,2596.77
2025-06-06,Priya Singh,Central,Delta,1,1511.78,1511.78,1140.43,371.35
2025-06-06,Priya Reddy,Central,Beta,3,668.62,2005.86,1278.01,727.85
2025-06-06,Sai Mehta,Central,Alpha,2,1840.83,3681.66,2232.81,1448.85
2025-06-06,Pooja Kumar,West,Alpha,1,1609.68,1609.68,931.2,678.48
2025-06-06,Priya Patel,West,Beta,5,284.84,1424.2,1210.34,213.86
2025-06-06,Siddharth Singh,South,Alpha,3,901.78,2705.34,1372.24,1333.1
2025-06-06,Arjun Joshi,Central,Gamma,3,1951.2,5853.6,3193.02,2660.58
2025-06-07,Siddharth Gupta,South,Alpha,3,256.22,768.66,417.16,351.5
2025-06-07,Aarav Sharma,West,Delta,1,140.38,140.38,80.67,59.71
2025-06-07,Rahul Patel,East,Delta,6,1657.33,9943.98,6309.7,3634.28
2025-06-07,Neha Iyer,West,Delta,1,1555.98,1555.98,1016.34,539.64
2025-06-07,Aditya Nair,Central,Delta,3,1079.54,3238.62,2597.13,641.49
2025-06-07,Aarav Joshi,South,Delta,2,1618.24,3236.48,1969.16,1267.32
2025-06-07,Rohan Reddy,Central,Gamma,6,1242.05,7452.3,5157.74,2294.56
2025-06-07,Siddharth Iyer,East,Beta,5,206.53,1032.65,761.21,271.44
2025-06-07,Karthik Nair,South,Beta,5,1342.01,6710.05,4118.89,2591.16
2025-06-07,Siddharth Nair,South,Alpha,2,1225.29,2450.58,1701.74,748.84
2025-06-07,Sai Sharma,South,Gamma,1,1108.55,1108.55,798.98,309.57
2025-06-07,Rohan Kumar,West,Epsilon,1,215.21,215.21,130.0,85.21
2025-06-07,Vivaan Reddy,North,Beta,2,1386.34,2772.68,1933.34,839.34
2025-06-08,Aishwarya Kumar,Central,Gamma,1,359.63,359.63,236.34,123.29
2025-06-08,Sakshi Singh,Central,Alpha,1,1594.95,1594.95,1006.01,588.94
2025-06-08,Sakshi Joshi,North,Gamma,4,1499.52,5998.08,4551.3,1446.78
2025-06-08,Siddharth Iyer,South,Beta,3,547.21,1641.63,1236.49,405.14
2025-06-08,Sai Mehta,North,Alpha,4,1497.7,5990.8,4906.66,1084.14
2025-06-08,Siddharth Mehta,South,Alpha,3,1237.36,3712.08,2339.61,1372.47
2025-06-08,Siddharth Reddy,East,Beta,3,999.67,2999.01,2536.21,462.8
2025-06-08,Rohan Nair,Central,Epsilon,3,1855.72,5567.16,4317.81,1249.35
2025-06-08,Aarav Patel,South,Gamma,3,1431.02,4293.06,2242.7,2050.36
2025-06-08,Arjun Kumar,West,Beta,1,637.38,637.38,331.22,306.16
2025-06-08,Karthik Iyer,Central,Beta,1,918.96,918.96,495.46,423.5
2025-06-08,Pooja Mehta,North,Delta,6,1831.88,10991.28,7624.46,3366.82
2025-06-08,Aarav Sharma,North,Delta,3,1721.43,5164.29,3724.88,1439.41
2025-06-08,Rahul Kumar,Central,Alpha,2,1615.94,3231.88,2205.95,1025.93
2025-06-08,Rohan Nair,Central,Delta,4,1276.13,5104.52,3792.06,1312.46
2025-06-08,Pooja Patel,South,Alpha,3,192.45,577.35,322.17,255.18
2025-06-08,Vihaan Reddy,East,Beta,1,1085.39,1085.39,635.9,449.49
2025-06-08,Ananya Iyer,South,Alpha,5,1464.96,7324.8,4102.57,3222.23
2025-06-08,Vihaan Sharma,South,Delta,2,1136.75,2273.5,1405.07,868.43
2025-06-08,Priya Mehta,North,Alpha,3,783.97,2351.91,1828.53,523.38
2025-06-08,Arjun Gupta,North,Beta,4,1471.13,5884.52,4664.31,1220.21
2025-06-08,Neha Joshi,Central,Delta,4,1848.59,7394.36,4904.0,2490.36
2025-06-08,Aishwarya Kumar,West,Gamma,1,562.81,562.81,289.68,273.13
2025-06-09,Vihaan Joshi,East,Gamma,5,132.1,660.5,346.43,314.07
2025-06-09,Rohan Iyer,South,Beta,1,795.27,795.27,503.19,292.08
2025-06-09,Rohan Iyer,North,Delta,2,229.41,458.82,322.71,136.11
2025-06-09,Pooja Kumar,West,Gamma,4,473.49,1893.96,1203.27,690.69
2025-06-09,Siddharth Sharma,South,Beta,2,1214.1,2428.2,1872.16,556.04
2025-06-09,Rahul Patel,East,Gamma,3,427.85,1283.55,750.27,533.28
2025-06-09,Ananya Nair,North,Delta,4,906.51,3626.04,3029.46,596.58
2025-06-09,Rohan Iyer,West,Gamma,4,438.75,1755.0,1011.85,743.15
2025-06-09,Rahul Joshi,Central,Alpha,7,470.19,3291.33,1949.79,1341.54
2025-06-09,Aarav Kumar,East,Alpha,1,1302.56,1302.56,1060.64,241.92
2025-06-09,Aarav Iyer,East,Delta,2,1602.96,3205.92,2396.08,809.84
2025-06-09,Priya Kumar,Central,Epsilon,3,972.0,2916.0,1768.29,1147.71
2025-06-09,Vihaan Nair,South,Alpha,4,453.64,1814.56,1392.72,421.84
2025-06-09,Arjun Iyer,West,Delta,7,950.32,6652.24,4232.36,2419.88
2025-06-09,Sakshi Sharma,North,Gamma,4,2183.11,8732.44,6351.35,2381.09
2025-06-10,Sai Nair,North,Alpha,5,1064.86,5324.3,3961.27,1363.03
2025-06-10,Priya Nair,Central,Beta,3,1412.25,4236.75,3108.57,1128.18
2025-06-10,Vivaan Sharma,West,Alpha,1,380.73,380.73,250.98,129.75
2025-06-10,Ananya Patel,West,Epsilon,6,1373.05,8238.3,5832.13,2406.17
2025-06-10,Rahul Iyer,East,Alpha,3,1423.86,4271.58,2885.67,1385.91
2025-06-10,Priya Patel,North,Gamma,3,416.05,1248.15,926.03,322.12
2025-06-10,Siddharth Kumar,South,Epsilon,2,880.31,1760.62,1292.75,467.87
2025-06-10,Rahul Gupta,Central,Delta,2,171.64,343.28,180.63,162.65
2025-06-10,Arjun Gupta,West,Epsilon,5,599.89,2999.45,1635.86,1363.59
2025-06-10,Karthik Mehta,South,Beta,3,1432.22,4296.66,3632.2,664.46
2025-06-10,Neha Sharma,West,Beta,3,962.01,2886.03,2073.32,812.71
2025-06-10,Karthik Nair,West,Beta,4,409.01,1636.04,1131.38,504.66
2025-06-10,Aarav Iyer,West,Beta,5,1052.85,5264.25,3539.68,1724.57
2025-06-10,Siddharth Reddy,Central,Delta,3,984.37,2953.11,1606.79,1346.32
2025-06-10,Vihaan Reddy,East,Gamma,7,328.48,2299.36,1282.71,1016.65
